ticker,event_date,event_type,headline,summary,source_url,sentiment
HD,2024-08-13,earnings,Home Depot Trims Sales Guidance Citing High Mortgage Rates and Big-Ticket Hesitation,Customers delayed larger kitchen and bath renovation projects requiring financing while repair/maintenance held steady.,https://ir.homedepot.com/news-releases/2024/08-13-2024-110014761,negative
HD,2024-11-12,earnings,Home Depot Q3 Sales Lifted by Hurricane Repair and SRS Acquisition Contribution,Comparable sales declined 1.3% but beat lowered expectations due to storm recovery demand across southeastern states.,https://ir.homedepot.com/news-releases/2024/11-12-2024-110023478,positive
LOW,2024-05-21,earnings,Lowe's Reports Q1 Comparable Sales Down 4.1% Amid DIY Discretionary Softness,Offset portion of DIY softness with mid-single-digit Pro sales growth and enhanced MVP Pro Rewards loyalty adoption.,https://corporate.lowes.com/newsroom/press-releases/lowes-reports-first-quarter-2024-sales-05-21-24,neutral
LOW,2024-08-20,guidance,Lowe's Lowers 2024 Outlook on Sustained Housing Turnover Stagnation,Lowered full-year comp guidance to -3.5% to -4.0% due to persistent elevated interest rates and delayed discretionary remodels.,https://corporate.lowes.com/newsroom/press-releases/lowes-reports-second-quarter-2024-sales-08-20-24,negative
LOW,2024-11-19,earnings,Lowe's Beats Q3 Expectations Lifted by Pro Market Share Gains and Weather Demand,"Maintained tight operating expense controls, keeping operating margin steady at 12.3% despite topline contraction.",https://corporate.lowes.com/newsroom/press-releases/lowes-reports-third-quarter-2024-sales-11-19-24,positive
DG,2024-03-14,guidance,"Dollar General Replaces Self-Checkout with Human Cashiers in 9,000 Stores",Addressed retail shrink losses by removing self-checkout kiosks from high-theft rural stores and adding employee presence.,https://investor.dollargeneral.com/news/news-details/2024/Dollar-General-Corporation-Reports-Fourth-Quarter-and-Fiscal-Year-2023-Financial-Results/default.aspx,neutral
DG,2024-08-29,earnings,Dollar General Shares Plunge 32% as Lower-Income Core Shopper Faces Strain,"Slashed full-year profit guidance by 20% due to aggressive promotional markdowns, inventory shrink, and soft traffic.",https://investor.dollargeneral.com/news/news-details/2024/Dollar-General-Corporation-Reports-Second-Quarter-2024-Financial-Results/default.aspx,negative
DG,2024-12-05,earnings,Dollar General Reports Modest Same-Store Sales Rebound of 1.3% in Q3,"Value-conscious consumers prioritized low-margin consumables and groceries, squeezing operating margin to 5.1%.",https://investor.dollargeneral.com/news/news-details/2024/Dollar-General-Corporation-Reports-Third-Quarter-2024-Financial-Results/default.aspx,neutral
UPS,2024-01-30,layoff,"UPS Cuts 12,000 Management Positions in $1 Billion Cost Reduction Initiative",Flattened organizational layers following Teamsters contract wage settlement and volume softness.,https://about.ups.com/us/en/newsroom/press-releases/financials/ups-releases-4q-2023-earnings.html,negative
UPS,2024-04-01,guidance,UPS Wins Exclusive US Postal Service Air Cargo Transportation Contract,Replaced FedEx as primary air cargo provider for USPS following competitive domestic procurement process.,https://about.ups.com/us/en/newsroom/press-releases/customer-first/ups-awarded-air-cargo-contract-by-united-states-postal-service.html,positive
UPS,2024-07-23,earnings,UPS Q2 Operating Margin Compresses to 8.9% on Higher Union Wages,Average daily package volume returned to growth in the US (+0.7%) but yield pressure from low-margin commercial volume weighed.,https://about.ups.com/us/en/newsroom/press-releases/financials/ups-releases-2q-2024-earnings.html,negative
FDX,2024-03-21,restructuring,FedEx Board Authorizes $5 Billion Share Repurchase Program Under DRIVE Cost Plan,Management outlined $4 billion in permanent cost savings by FY2025 through Express and Ground operational network integration.,https://investors.fedex.com/news-and-events/investor-news/investor-news-details/2024/FedEx-Reports-Third-Quarter-Results-and-Increases-Fiscal-2024-Earnings-Forecast/default.aspx,positive
FDX,2024-06-25,earnings,FedEx Delivers FY24 Operating Margin Improvement to 6.4% Behind DRIVE Program,"Consolidated Ground and Express operations in 50+ locations, improving package density and reducing aircraft flight hours.",https://investors.fedex.com/news-and-events/investor-news/investor-news-details/2024/FedEx-Reports-Fourth-Quarter-and-Full-Year-Fiscal-2024-Results/default.aspx,positive
FDX,2024-09-19,guidance,FedEx Lowers FY25 Revenue Guidance as Industrial Shippers Trade Down to Deferred Ground,"Noted ongoing freight demand weakness in premium air priority services as corporate customers chose slower, cheaper modes.",https://investors.fedex.com/news-and-events/investor-news/investor-news-details/2024/FedEx-Reports-First-Quarter-Fiscal-2025-Results/default.aspx,negative
EXPD,2024-02-20,earnings,Expeditors Navigates Ocean and Air Freight Volume Normalization Post-Pandemic,Maintained debt-free balance sheet with $1.5B cash despite 45% revenue reset as ocean container spot rates normalized.,https://investor.expeditors.com/news/news-details/2024/Expeditors-Reports-Fourth-Quarter-and-Full-Year-2023-Financial-Results/default.aspx,neutral
EXPD,2024-08-06,earnings,Expeditors Q2 Airfreight Tonnage Jumps 15% Driven by E-Commerce Out of Asia,Operating income grew 16% YoY as Red Sea maritime disruptions pushed urgent global cargo from ocean onto air routes.,https://investor.expeditors.com/news/news-details/2024/Expeditors-Reports-Second-Quarter-2024-Financial-Results/default.aspx,positive
EXPD,2024-11-05,earnings,Expeditors Maintains Strict Cost Discipline with Operating Margins Approaching 10%,"Generated $850M free cash flow in FY24, returning over 90% of operating cash flow to shareholders via dividends and buybacks.",https://investor.expeditors.com/news/news-details/2024/Expeditors-Reports-Third-Quarter-2024-Financial-Results/default.aspx,positive
CHRW,2024-05-01,earnings,C.H. Robinson Beats Q1 Estimates Led by Strong Ocean Freight Margin Growth,New CEO Dave Bozeman's lean operational execution improved adjusted gross profit per truckload shipment.,https://investor.chrobinson.com/news/news-details/2024/CH-Robinson-Reports-First-Quarter-2024-Results/default.aspx,positive
CHRW,2024-07-31,earnings,C.H. Robinson Operating Income Surges 32% on Proprietary AI Pricing Algorithms,Automated booking tools and real-time carrier capacity matching drove 220 basis points of operating margin expansion.,https://investor.chrobinson.com/news/news-details/2024/CH-Robinson-Reports-Second-Quarter-2024-Results/default.aspx,positive
CHRW,2024-10-30,guidance,C.H. Robinson Reduces Debt by $200M While Expanding Digital Freight Brokerage,Management reiterated target of compounding free cash flow through freight downcycles via variable-cost carrier brokerage model.,https://investor.chrobinson.com/news/news-details/2024/CH-Robinson-Reports-Third-Quarter-2024-Results/default.aspx,positive
XPO,2024-02-07,earnings,XPO Reports Fourth Quarter 2023 Adjusted EBITDA Up 23% to $264 Million,"Benefited from freight volume migration following Yellow Corp bankruptcy, expanding North American LTL terminal network.",https://investors.xpo.com/news-releases/news-release-details/xpo-reports-fourth-quarter-and-full-year-2023-results,positive
XPO,2024-05-03,earnings,XPO North American LTL Operating Ratio Improves 270 Basis Points to 85.7%,Yield improvement of 9.8% YoY drove strong margin expansion as automated pricing and linehaul optimization took hold.,https://investors.xpo.com/news-releases/news-release-details/xpo-reports-first-quarter-2024-results,positive
XPO,2024-11-01,earnings,XPO Achieves Best Third-Quarter Adjusted EBITDA in Company History at $333 Million,Added 28 acquired former Yellow service centers to accelerate network density and improve freight transit times.,https://investors.xpo.com/news-releases/news-release-details/xpo-reports-third-quarter-2024-results,positive
GXO,2024-02-13,earnings,"GXO Logistics Delivers Record FY2023 Revenue of $9.8 Billion, Up 9% YoY",Signed record $1.0 billion in annualized new business wins with high customer retention rate of 95% in automated warehousing.,https://investors.gxo.com/news-releases/news-release-details/gxo-reports-fourth-quarter-and-full-year-2023-results,positive
GXO,2024-04-29,M&A,GXO Completes Acquisition of UK Logistics Provider Wincanton for $965 Million,"Expanded aerospace, defense, and grocery logistics presence across the UK and Continental Europe.",https://investors.gxo.com/news-releases/news-release-details/gxo-completes-acquisition-wincanton-plc,positive
GXO,2024-10-09,hiring,"GXO Logistics Plans to Hire 11,000 Seasonal and Full-Time Warehouse Employees",Ramped up seasonal e-commerce fulfillment and robotics technicians across 970+ automated logistics facilities globally.,https://investors.gxo.com/news-releases/news-release-details/gxo-hire-more-11000-workers-holiday-peak-season,positive
JBHT,2024-01-18,earnings,J.B. Hunt Finalizes Long-Term Intermodal Service Agreement with BNSF Railway,Deepened rail partnership to expand intermodal container fleet capacity and capture highway freight conversions.,https://investor.jbhunt.com/news-releases/news-release-details/jb-hunt-transport-services-inc-reports-fourth-quarter-and-full-year,positive
JBHT,2024-04-16,earnings,J.B. Hunt Reports Q1 Earnings Hit by Soft Freight Demand and Intermodal Pricing Pressure,Intermodal volumes flat while dedicated contract carriage maintained high customer retention despite trucking oversupply.,https://investor.jbhunt.com/news-releases/news-release-details/jb-hunt-transport-services-inc-reports-first-quarter-2024-results,negative
JBHT,2024-10-15,earnings,J.B. Hunt Q3 Intermodal Volumes Rise 5% Driven by West Coast Port Inbound Surge,"Intermodal container velocity improved with rail transit consistency, helping lift operating income to $224 million.",https://investor.jbhunt.com/news-releases/news-release-details/jb-hunt-transport-services-inc-reports-third-quarter-2024-results,positive
